№,サブシステムＩＤ,サブシステム名,機能ＩＤ,機能名,タイプ,概要,この機能を直接利用する業務
19,,,BF100,選挙データの検索・一覧,明細検索・一覧,条件にしたがって一次テーブルの内容を検索・一覧するためのパネル機能,「投票通知 (選挙情報管理者) 」等
20,,,BF110,選挙データの保守,フラットメンテナンス,,「投票通知 (選挙情報管理者) 」等
21,,,BF120,区域別投票所の一括保守,一括メンテナンス,条件にしたがって一次テーブル上の複数データを一括保守するためのパネル機能,「選挙情報保守 (選挙情報管理者) 」
22,,,BF130,選挙別投票所明細の保守,フラットメンテナンス,,「選挙情報保守 (選挙情報管理者) 」等
23,,,BF140,入場券の発行,バッチ処理,特定投票所向けの投票者向けに入場券を発行するための機能,「投票通知 (選挙情報管理者) 」
24,,,BF200,選挙人属性初期化処理,バッチ処理,転入者の選挙人属性を初期化するためのバッチ処理,なし
25,,,BF300,選挙人明細確定処理,バッチ処理,特定選挙向けの選挙人明細を現時点の住民一覧にもとづいて設定するためのバッチ処理,なし
26,C,法人データ管理,CF000,法人データの検索・一覧,明細検索・一覧,条件にしたがって一次テーブルの内容を検索・一覧するためのパネル機能,「法人情報登録 (法人住民税管理者) 」
27,,,CF010,法人データの保守,親子検索・一覧,特定の法人データを照会・保守するためのパネル機能,「法人情報登録 (法人住民税管理者) 」
28,,,CF100,法人検索用関数,明細検索・一覧,条件にしたがって一次テーブルの内容を検索・一覧するための関数機能,「住民税申告登録 (法人住民税管理者) 」
29,D,住民税データ管理,DF010,住民･年度別住民税サマリの検索・一覧,明細検索・一覧,条件にしたがって一次テーブルの内容を検索・一覧するためのパネル機能,「納税証明書交付 (個人住民税管理者) 」等
30,,,DF020,住民･年度別住民税サマリの保守,親子検索・一覧,特定の住民･年度別住民税サマリデータを照会・保守するためのパネル機能,「納税証明書交付 (個人住民税管理者) 」等
31,,,DF030,個人住民税額の一括確定登録,一括メンテナンス,条件にしたがって一次テーブルの複数レコードを更新するためのパネル機能,「個人住民税額確定登録 (納税課承認者) 」
32,,,DF040,個人住民税通知書の一括発行,一括メンテナンス,条件にしたがって一次テーブルの複数レコードを更新するためのパネル機能,「課税額通知 (個人住民税管理者) 」
33,,,DF041,個人住民税通知書の発行,バッチ処理,特定の個人･年度に対する住民税通知書を出力するための印刷機能,「課税額通知 (個人住民税管理者) 」
34,,,DF060,個人住民税納税証明書の発行,バッチ処理,特定の個人･年度に対する住民税納税状況を出力するための印刷機能,「納税証明書交付 (個人住民税管理者) 」
35,,,DF100,法人･年度別住民税サマリの検索・一覧,明細検索・一覧,条件にしたがって一次テーブルの内容を検索・一覧するためのパネル機能,「課税資産情報の登録 (固定資産税管理者) 」等
36,,,DF110,法人･年度別住民税サマリの保守,親子検索・一覧,特定の法人･年度別住民税サマリデータを照会・保守するためのパネル機能,「課税資産情報の登録 (固定資産税管理者) 」等
37,,,DF120,法人住民税額の一括確定登録,一括メンテナンス,条件にしたがって一次テーブルの複数レコードを更新するためのパネル機能,「法人住民税額確定登録 (納税課承認者) 」
38,,,DF130,法人住民税通知書の一括発行,一括メンテナンス,条件にしたがって一次テーブルの複数レコードを更新するためのパネル機能,「課税額通知 (法人住民税管理者) 」
39,,,DF131,法人住民税通知書の発行,バッチ処理,特定の法人･年度に対する住民税通知書を出力するための印刷機能,「課税額通知 (法人住民税管理者) 」
40,,,DF150,法人住民税納税証明書の発行,バッチ処理,特定の法人･年度に対する住民税納税状況を出力するための印刷機能,「納税証明書交付 (法人住民税管理者) 」
41,,,DF200,住民税納付書の一括発行,一括メンテナンス,条件にしたがって一次テーブルの複数レコードを更新するためのパネル機能,「納付書送付 (入出金管理者) 」
42,,,DF210,客体別住民税納付書の一括発行,明細検索・一覧,条件にしたがって一次テーブルの複数レコードを更新するためのパネル機能,なし
43,,,DF220,住民税納付書の発行,バッチ処理,特定の客体･年度に対する住民税納付書を出力するための印刷機能,「納付書送付 (入出金管理者) 」
44,,,DF900,住民税額自動計算用関数,バッチ処理,特定の課税属性にもとづいて、課税額の初期値を得るための関数,なし
45,,,DF990,パージ処理,バッチ処理,特定年度のトランザクションを削除するためのバッチ処理,なし
46,E,固定資産税データ管理,EF010,住民別固定資産税サマリの検索・一覧,明細検索・一覧,条件にしたがって一次テーブルの内容を検索・一覧するためのパネル機能,なし
47,,,EF020,住民自治体別固資税サマリの保守,親子検索・一覧,特定の住民･年度別課税サマリデータを照会・保守するためのパネル機能,「更正登録 (固定資産税管理者) 」等
48,,,EF030,個人固定資産税通知書の発行,バッチ処理,特定の住民･年度･自治体に対する固定資産税通知書を出力するための印刷機能,「課税額通知 (固定資産税管理者) 」等
49,,,EF040,個人固定資産証明書の発行,バッチ処理,特定の住民･年度･自治体に対する資産課税状況を出力するための印刷機能,「証明書交付 (固定資産税管理者) 」
50,,,EF100,法人別固定資産税サマリの検索・一覧,明細検索・一覧,条件にしたがって一次テーブルの内容を検索・一覧するためのパネル機能,なし
51,,,EF110,法人自治体別固資税サマリの保守,親子検索・一覧,特定の法人･年度･自治体別の固定資産の課税状況を照会・保守するためのパネル機能,「更正登録 (固定資産税管理者) 」等
52,,,EF120,法人固定資産税通知書の発行,バッチ処理,特定の法人･年度･自治体に対する固定資産税通知書を出力するための印刷機能,「課税額通知 (固定資産税管理者) 」等
53,,,EF130,法人固資税納税証明書の発行,バッチ処理,特定の法人･年度･自治体に対する資産課税状況を出力するための印刷機能,「証明書交付 (固定資産税管理者) 」
54,,,EF200,課税資産データの検索・一覧,明細検索・一覧,条件にしたがって一次テーブルの内容を検索・一覧するためのパネル機能,なし
55,,,EF210,課税資産の保守,親子検索・一覧,特定の住民･年度別の課税資産一覧を保守するためのパネル機能,「課税資産情報の登録 (固定資産税管理者) 」等
56,,,EF220,資産評価額の一括確認登録,一括メンテナンス,条件にしたがって一次テーブルの複数レコードを更新するためのパネル機能,「固定資産評価額確認登録 (納税課承認者) 」
57,,,EF230,資産課税額の一括確認登録,一括メンテナンス,条件にしたがって一次テーブルの複数レコードを更新するためのパネル機能,「固定資産税額確認登録 (納税課承認者) 」
58,,,EF240,客体別資産課税額の一括確定登録,一括メンテナンス,条件にしたがって一次テーブルの複数レコードを更新するためのパネル機能,「客体別資産課税額確定 (固定資産税管理者) 」
59,,,EF250,固定資産税通知書の一括発行,一括メンテナンス,条件にしたがって課税額確定済の客体に対して通知書を発行するためのパネル機能,「課税額通知 (固定資産税管理者) 」
60,,,EF300,固定資産税納付書の一括発行,一括メンテナンス,条件にしたがって課税額確定済の客体に対して納付書を発行するためのパネル機能,「納付書送付 (入出金管理者) 」
61,,,EF310,客体別固定資産税納付書の一括発行,明細検索・一覧,条件にしたがって一次テーブルの複数レコードを更新するためのパネル機能,なし
62,,,EF320,固定資産税納付書の発行,バッチ処理,特定の客体･年度･自治体に対する固定資産税納付書を出力するための印刷機能,「納付書送付 (入出金管理者) 」
63,,,EF900,資産評価額自動計算用関数,バッチ処理,特定の資産の情報にもとづいて、評価額の初期値を得るための関数,なし
64,,,EF910,資産課税額自動計算用関数,バッチ処理,特定の資産の情報にもとづいて、課税額の初期値を得るための関数,なし
65,,,EF990,パージ処理,バッチ処理,特定年度のトランザクションを削除するためのバッチ処理,なし
66,F,国民健保データ管理,FF010,住民国保属性の検索・一覧,明細検索・一覧,条件にしたがって一次テーブルの内容を検索・一覧するためのパネル機能,「資格異動受付 (国民健保管理者) 」等
67,,,FF011,国民健保資格属性の新規登録,親子検索・一覧,特定住民の国民健保属性を新規登録するためのパネル機能,「資格異動受付 (国民健保管理者) 」
68,,,FF020,住民国保属性の保守,親子検索・一覧,特定住民の国民健保属性を照会・保守するためのパネル機能,「資格異動受付 (国民健保管理者) 」等
69,,,FF021,国民健保被扶養者の追加,親子検索・一覧,国民健保資格に被扶養者を追加するためのパネル機能,「資格異動受付 (国民健保管理者) 」
70,,,FF022,国民健保被扶養者の詳細確認,親子検索・一覧,国民健保資格に被扶養者を追加するためのパネル機能,なし
71,,,FF030,年次保険料サマリの保守,親子検索・一覧,特定の住民別年次保険料サマリを照会・修正するためのパネル機能,「療養費支給申請登録 (国民健保管理者) 」等
72,,,FF040,滞納通知書の一括発行,明細検索・一覧,条件にしたがって滞納通知書を一括発行するためのパネル機能,「保険料滞納通知 (国民健保管理者) 」
73,,,FF041,滞納通知書の発行,明細検索・一覧,滞納通知書を発行するための機能,「保険料滞納通知 (国民健保管理者) 」
74,,,FF050,保険料の一括計算処理,明細検索・一覧,条件にしたがって翌年度の保険料を一括設定するためのパネル機能,「当初保険料一括計算 (国民健保管理者) 」
75,,,FF060,保険料通知書の一括発行,明細検索・一覧,条件にしたがって保険料通知書を一括発行するためのパネル機能,「保険料通知 (国民健保管理者) 」
76,,,FF061,保険料通知書の発行,明細検索・一覧,保険料通知書を発行するための機能,「保険料通知 (国民健保管理者) 」
77,,,FF070,特別徴収設定処理,明細検索・一覧,条件にしたがって特別徴収対象を一括設定するためのパネル機能,「特別徴収決定 (国民健保管理者) 」
78,,,FF080,健診通知書の一括発行,明細検索・一覧,条件にしたがって健診通知書を一括発行するためのパネル機能,「健診通知書送付 (国民健保管理者) 」
79,,,FF081,健診料通知書の発行,明細検索・一覧,健診通知書を発行するための機能,「健診通知書送付 (国民健保管理者) 」
80,,,FF200,利用明細書の一括発行,明細検索・一覧,条件にしたがって利用明細書を一括発行するためのパネル機能,「利用明細書送付 (国民健保管理者) 」
81,,,FF210,利用明細書の発行,明細検索・一覧,利用明細書を発行するための機能,「利用明細書送付 (国民健保管理者) 」
82,,,FF220,保険料納付書の一括発行,明細検索・一覧,条件にしたがって保険料納付書を一括発行するためのパネル機能,「納付書送付 (入出金管理者) 」
83,,,FF230,被保険者別保険料納付書の一括発行,明細検索・一覧,条件にしたがって一次テーブルの複数レコードを更新するためのパネル機能,「保険料減免申請登録 (国民健保管理者) 」
84,,,FF240,保険料納付書の発行,明細検索・一覧,保険料納付書を発行するための機能,「保険料減免申請登録 (国民健保管理者) 」等
85,,,FF900,国保資格確認用関数,バッチ処理,特定の国保記号番号を持つ国保資格が有効であるかどうかを確認するための関数,「国保資格情報送信処理 (サーバー) 」
86,,,FF990,パージ処理,バッチ処理,特定年度のトランザクションを削除するためのバッチ処理,なし
87,N,住民取引データ管理,NF010,入出金取引データの検索・一覧,明細検索・一覧,条件にしたがって一次テーブルの内容を検索・一覧するためのパネル機能,なし
88,,,NF020,入出金取引の保守,バッチ処理,対象データのタイプに応じて起動されるべき機能を切り替えるための機能,なし
89,,,NF021,国保療養費支給取引の保守,親子検索・一覧,特定の取引区分の納給付取引明細を追加・照会・修正するためのパネル機能,「療養費支給申請登録 (国民健保管理者) 」
90,,,NF022,国保不正利益請求の保守,親子検索・一覧,特定の取引区分の納給付取引明細を追加・照会・修正するためのパネル機能,なし
91,,,NF023,診療費第三者請求の保守,親子検索・一覧,特定の取引区分の納給付取引明細を追加・照会・修正するためのパネル機能,なし
92,,,NF024,住民税納付明細の保守,親子検索・一覧,特定の取引区分の納給付取引明細を追加・照会・修正するためのパネル機能,なし
93,,,NF025,固定資産税納付明細の保守,親子検索・一覧,特定の取引区分の納給付取引明細を追加・照会・修正するためのパネル機能,なし
94,,,NF026,国保保険料納付明細の保守,親子検索・一覧,特定の取引区分の納給付取引明細を追加・照会・修正するためのパネル機能,なし
95,,,NF027,国保保険料減免取引の保守,親子検索・一覧,特定の取引区分の納給付取引明細を追加・照会・修正するためのパネル機能,「保険料減免申請登録 (国民健保管理者) 」
96,,,NF028,過納取引の保守,親子検索・一覧,特定の取引区分の納給付取引明細を追加・照会・修正するためのパネル機能,「振替結果確認 (入出金管理者) 」
97,,,NF030,保険料減免の一括承認登録,一括メンテナンス,条件にしたがって一次テーブルの複数レコードを更新するためのパネル機能,「保険料減免承認登録 (国保課承認者) 」
98,,,NF040,国保療養費給付の一括承認登録,一括メンテナンス,条件にしたがって一次テーブルの複数レコードを更新するためのパネル機能,「療養費支給承認登録 (国保課承認者) 」
99,,,NF050,診療費請求書の一括発行,明細検索・一覧,条件にしたがって診療費請求書を一括発行するためのパネル機能,「診療費請求書送付 (国民健保管理者) 」
100,,,NF051,診療費請求書の発行,明細検索・一覧,診療費請求書を発行するための機能,「診療費請求書送付 (国民健保管理者) 」
101,,,NF100,入金通知データの検索・一覧,明細検索・一覧,条件にしたがって一次テーブルの内容を検索・一覧するためのパネル機能,「入金通知 (入出金管理者) 」
102,,,NF110,入金通知の新規作成,明細検索・一覧,条件にしたがって新たな入金通知を生成するためのパネル機能,「入金通知 (入出金管理者) 」
103,,,NF120,入金通知の保守,親子検索・一覧,特定の入金通知データを照会・修正するためのパネル機能,なし
104,,,NF121,納付相殺登録,親子検索・一覧,特定の給付支払単位で相殺設定するためのパネル機能,「入金通知 (入出金管理者) 」
105,,,NF140,給付通知書の一括発行,明細検索・一覧,条件にしたがって給付通知書を一括発行するためのパネル機能,「入金通知 (入出金管理者) 」
106,,,NF150,給付通知書の発行,バッチ処理,特定の給付予定について内容を印刷するための機能,「入金通知 (入出金管理者) 」
107,,,NF200,振替指示データの検索・一覧,明細検索・一覧,条件にしたがって一次テーブルの内容を検索・一覧するためのパネル機能,「振替指示 (入出金管理者) 」
108,,,NF210,振替指示データの新規追加,親子メンテナンス,新たな振替指示を追加するためのパネル機能,「振替指示 (入出金管理者) 」
109,,,NF220,振替指示データの保守,親子メンテナンス,特定の振替指示を照会・修正するためのパネル機能,「振替指示 (入出金管理者) 」
110,,,NF300,振替実績データの検索・一覧,明細検索・一覧,条件にしたがって一次テーブルの内容を検索・一覧するためのパネル機能,「振替結果確認 (入出金管理者) 」等
111,,,NF310,振替実績見出し／明細の一覧,親子検索・一覧,条件にしたがって一次テーブルの内容を検索・一覧するためのパネル機能,「振替結果確認 (入出金管理者) 」等
112,,,NF311,振替実績突合結果の保守,明細検索・一覧,条件にしたがって一次テーブルの内容を検索・一覧するためのパネル機能,「振替結果確認 (入出金管理者) 」
113,,,NF320,残高不足通知書の発行,バッチ処理,特定の振替実績明細について残高不足通知書を印刷するための機能,「残高不足通知 (入出金管理者) 」
114,,,NF900,受診実績にもとづく納給付明細生成,バッチ処理,特定の受診実績明細にもとづいて、納給付明細を生成するためのバッチ処理,なし
115,,,NF910,住民税納付明細の生成,バッチ処理,確定税額にもとづいて、納給付明細を生成するためのバッチ処理,なし
116,,,NF920,固定資産税納付明細の生成,バッチ処理,確定税額にもとづいて、納給付明細を生成するためのバッチ処理,なし
117,,,NF930,国保保険料納付明細の生成,バッチ処理,確定税額にもとづいて、納給付明細を生成するためのバッチ処理,なし
118,,,NF940,振替指示送信処理,バッチ処理,振替指示情報を会計システムに渡すためのバッチ処理,「振替指示送信処理 (サーバー) 」
119,,,NF950,振替実績取込処理,バッチ処理,金融機関からの振替情報にもとづいて、納付明細を更新するためのバッチ処理,「振替実績取込処理 (サーバー) 」
120,,,NF990,パージ処理,バッチ処理,特定年度のトランザクションを削除するためのバッチ処理,なし
121,Q,レセプトデータ管理,QF010,レセプト受信データの検索・一覧,明細検索・一覧,条件にしたがって一次テーブルの内容を検索・一覧するためのパネル機能,「レセプト確認 (国民健保管理者) 」
122,,,QF020,レセプト受信バッチ別明細確認,親子検索・一覧,条件にしたがって一次テーブルの内容を検索・一覧するためのパネル機能,「レセプト確認 (国民健保管理者) 」
123,,,QF021,レセプト受信明細の詳細確認,明細検索・一覧,条件にしたがって一次テーブルの内容を検索・一覧するためのパネル機能,なし
124,,,QF022,レセプト突合結果返信処理,バッチ処理,送信用バッファ領域に明細毎の処理結果を書き込むための処理,「レセプト確認 (国民健保管理者) 」
125,,,QF030,受診実績データの追加,親子検索・一覧,受診実績データを追加するためのパネル機能,「レセプト確認 (国民健保管理者) 」
126,,,QF031,受診実績データの保守,親子検索・一覧,特定の受診実績データを照会・保守するためのパネル機能,「レセプト確認 (国民健保管理者) 」
127,,,QF100,レセプト取込処理,バッチ処理,レセプトデータを受診して、被保険者情報と突合せ、診療実績データを生成するためのバッチ処理,「レセプト受信処理 (サーバー) 」
128,,,QF990,パージ処理,バッチ処理,特定年度のトランザクションを削除するためのバッチ処理,なし
129,S,★住民情報閲覧管理,SF010,閲覧用メニューランチャー,ランチャー,住基情報閲覧システムのログオン機能,「閲覧支援 (住基情報管理者) 」
130,,,SF020,閲覧メインメニュー,フラットメンテナンス,住基情報閲覧機能,なし
131,,,SF100,住基情報閲覧セッションの登録,ランチャー,,「閲覧支援 (住基情報管理者) 」
132,,,SF990,パージ処理,バッチ処理,特定年度のトランザクションを削除するためのバッチ処理,なし
133,X,統計データ管理,XF010,年次サマリの検索・一覧,明細検索・一覧,条件にしたがって一次テーブルの内容を検索・一覧するためのパネル機能,なし
134,,,XF020,年度別月次サマリの一覧,親子検索・一覧,条件にしたがって一次テーブルとその子テーブルの内容を検索・一覧するためのパネル機能,なし
135,,,XF030,年次課税条件の登録,フラットメンテナンス,条件にしたがって一次テーブルの内容を保守するためのパネル機能,「翌年度課税条件設定 (納税課承認者) 」
136,,,XF100,月次サマリ集計処理,バッチ処理,月次の実績情報にもとづいて月次・年次サマリを更新するためのバッチ機能,「実績集計処理 (サーバー) 」
137,,,XF990,パージ処理,バッチ処理,特定年度のトランザクションを削除するためのバッチ処理,なし
138,Y,自治体データ管理,YF010,自治体情報の検索・一覧,明細検索・一覧,条件にしたがってユーザ情報を検索・一覧するためのパネル機能,「自治体情報保守 (システム管理者) 」
139,,,YF011,自治体情報の保守,親子検索・一覧,特定の自治体定義を照会・保守するためのパネル機能,「自治体情報保守 (システム管理者) 」
140,,,YF020,区域情報の保守,親子検索・一覧,特定の区域定義を照会・保守するためのパネル機能,「自治体情報保守 (システム管理者) 」
141,,,YF030,部署情報の保守,親子検索・一覧,特定の部署定義を照会・保守するためのパネル機能,「自治体情報保守 (システム管理者) 」
142,,,YF040,職員情報の保守,親子検索・一覧,特定の職員定義を照会・保守するためのパネル機能,「自治体情報保守 (システム管理者) 」
143,,,YF050,自治体カレンダーの保守,親子検索・一覧,特定のカレンダー日付を照会・保守するためのパネル機能,「自治体情報保守 (システム管理者) 」
144,Z,システム制御,ZF000,システム変数の保守,フラットメンテナンス,システム変数FILEの内容を保守するためのパネル機能,「システム変数保守 (システム管理者) 」
145,,,ZF010,共用採番関数,バッチ処理,番号タイプにもとづいて共通制御FILEから次の番号値を得るための共用関数,なし
146,,,ZF020,ユーザの検索・一覧,明細検索・一覧,条件にしたがってユーザ情報を検索・一覧するためのパネル機能,「ユーザ情報保守 (システム管理者) 」
147,,,ZF021,ユーザの保守,親子検索・一覧,特定のユーザと、関連する職務明細を保守するためのパネル機能,「ユーザ情報保守 (システム管理者) 」
148,,,ZF030,セッション履歴の検索・一覧,明細検索・一覧,条件にしたがってセッション履歴情報を検索・一覧するためのパネル機能,「システム利用状況照会 (システム管理者) 」
149,,,ZF031,セッション別機能履歴の一覧,親子検索・一覧,特定のセッション履歴とこれに関連するプログラム利用履歴の複数件を一覧表示するためのパネル機能,「システム利用状況照会 (システム管理者) 」
150,,,ZF040,区分定義の検索・一覧,明細検索・一覧,条件にしたがってユーザ情報を検索・一覧するためのパネル機能,「区分定義保守 (システム管理者) 」
151,,,ZF041,区分定義の保守,親子検索・一覧,特定のユーザと、関連する職務明細を保守するためのパネル機能,「区分定義保守 (システム管理者) 」
152,,,ZF050,パージ処理の起動確認,ランチャー,さまざまなサブシステムで定義されたパージ処理を一括起動するためのパネル機能,「パージ処理 (システム管理者) 」
153,,,ZF100,職員用メニューランチャー,ランチャー,ユーザーのログイン要求にもとづいて、規定のメニューを起動するための常駐プログラム,「ログインとログアウト (住基情報管理者) 」等
154,,,ZF110,住基情報管理メニュー,メニュー,職務別の機能メニュー,「ログインとログアウト (住基情報管理者) 」等
155,,,ZF120,選挙情報管理メニュー,メニュー,職種別の機能メニュー,「選挙人申告受付 (選挙情報管理者) 」等
156,,,ZF130,固定資産税管理メニュー,メニュー,職種別の機能メニュー,「ログインとログアウト (固定資産税管理者) 」等
157,,,ZF131,個人住民税管理メニュー,メニュー,職種別の機能メニュー,「ログインとログアウト (個人住民税管理者) 」等
158,,,ZF132,法人住民税管理メニュー,メニュー,職種別の機能メニュー,「ログインとログアウト (法人住民税管理者) 」等
159,,,ZF133,納税課承認メニュー,メニュー,職種別の機能メニュー,「固定資産税額確認登録 (納税課承認者) 」等
160,,,ZF140,国民健保管理メニュー,メニュー,職種別の機能メニュー,「ログインとログアウト (国民健保管理者) 」等
161,,,ZF141,後期高齢者医療管理メニュー,メニュー,職種別の機能メニュー,「ログインとログアウト (★後期高齢者医療管理者) 」
162,,,ZF142,介護保険管理メニュー,メニュー,職種別の機能メニュー,「ログインとログアウト (★介護保険管理者) 」
163,,,ZF143,国保課承認メニュー,メニュー,職種別の機能メニュー,「保険料減免承認登録 (国保課承認者) 」等
164,,,ZF150,国民年金管理メニュー,メニュー,職種別の機能メニュー,「ログインとログアウト (★国民年金管理者) 」
165,,,ZF160,障害者福祉管理メニュー,メニュー,職種別の機能メニュー,「ログインとログアウト (★障害者福祉管理者) 」
166,,,ZF161,児童福祉管理メニュー,メニュー,職種別の機能メニュー,「ログインとログアウト (★児童福祉管理者) 」
167,,,ZF162,生活保護管理メニュー,メニュー,職種別の機能メニュー,「ログインとログアウト (★生活保護管理者) 」
168,,,ZF163,ケースワーカーメニュー,メニュー,職種別の機能メニュー,「ログインとログアウト (★ケースワーカー) 」
169,,,ZF164,福祉課承認メニュー,メニュー,職種別の機能メニュー,「ログインとログアウト (★福祉課承認者) 」
170,,,ZF165,特別給付管理メニュー,メニュー,職種別の機能メニュー,「ログインとログアウト (★特別給付管理者) 」
171,,,ZF170,入出金管理メニュー,メニュー,職種別の機能メニュー,「ログインとログアウト (入出金管理者) 」等
172,,,ZF171,債権管理メニュー,メニュー,職種別の機能メニュー,「ログインとログアウト (★債権管理者) 」
173,,,ZF190,組織情報管理メニュー,メニュー,職務別の機能メニュー,「ログインとログアウト (組織情報管理者) 」
174,,,ZF191,システム管理メニュー,メニュー,職務別の機能メニュー,「ログインとログアウト (システム管理者) 」等
175,,,ZF200,ＷＥＢサービスランチャー,ランチャー,ＷＥＢからの要求にもとづいて、対応する処理を起動するための常駐プログラム,なし
176,,,ZF300,定時処理ランチャー,バッチ処理,時刻にもとづいて、タイマー設定された機能を起動するための常駐プログラム,なし
177,,,ZF900,パージ処理,バッチ処理,古いトランザクション処理をまとめてクリアするためのバッチ処理,なし
