№,職務ＩＤ,職務名,所属部門,業務ＩＤ,業務名,イベント,業務タイプＩＤ,業務タイプ名
29,30,固定資産税管理者,税務課,3007,証明書交付,交付申請を受け取った！,,
30,31,個人住民税管理者,税務課,3100,ログインとログアウト,随時,,
31,31,個人住民税管理者,税務課,3101,住民税申告登録,申告書を受け取った！,,
32,31,個人住民税管理者,税務課,3103,課税額通知,随時,,
33,31,個人住民税管理者,税務課,3104,更正登録,申告書を受け取った！,,
34,31,個人住民税管理者,税務課,3105,納税証明書交付,交付申請を受け取った！,,
35,32,法人住民税管理者,税務課,3200,ログインとログアウト,随時,,
36,32,法人住民税管理者,税務課,3201,法人情報登録,設立届を受け取った！,,
37,32,法人住民税管理者,税務課,3202,住民税申告登録,申告書を受け取った！,,
38,32,法人住民税管理者,税務課,3204,課税額通知,随時,,
39,32,法人住民税管理者,税務課,3205,更正登録,更正申告書を受け取った！,,
40,32,法人住民税管理者,税務課,3206,納税証明書交付,交付申請を受け取った！,,
41,33,納税課承認者,税務課,3300,ログインとログアウト,随時,,
42,33,納税課承認者,税務課,3301,固定資産評価額確認登録,随時,,
43,33,納税課承認者,税務課,3302,固定資産税額確認登録,随時,,
44,33,納税課承認者,税務課,3303,個人住民税額確定登録,随時,,
45,33,納税課承認者,税務課,3504,法人住民税額確定登録,随時,,
46,33,納税課承認者,税務課,3505,翌年度課税条件設定,期末の規定日,,
47,40,国民健保管理者,国保課,4000,ログインとログアウト,随時,,
48,40,国民健保管理者,国保課,4001,資格異動受付,異動届を受け取った！,,
49,40,国民健保管理者,国保課,4002,保険料滞納通知,随時,,
50,40,国民健保管理者,国保課,4003,当初保険料一括計算,年次の規定日,,
51,40,国民健保管理者,国保課,4004,保険料通知,年次の規定日,,
52,40,国民健保管理者,国保課,4005,保険料減免申請登録,減免申請書を受け取った！,,
53,40,国民健保管理者,国保課,4006,特別徴収決定,随時,,
54,40,国民健保管理者,国保課,4007,レセプト確認,随時,,
55,40,国民健保管理者,国保課,4008,療養費支給申請登録,支給申請書を受け取った！,,
56,40,国民健保管理者,国保課,4009,診療費請求書送付,随時,,
57,40,国民健保管理者,国保課,4010,健診通知書送付,随時,,
58,40,国民健保管理者,国保課,4011,利用明細書送付,月次の規定日,,
59,41,★後期高齢者医療管理者,国保課,4100,ログインとログアウト,随時,,
60,41,★後期高齢者医療管理者,国保課,4101,住民異動情報提供,随時,,
61,41,★後期高齢者医療管理者,国保課,4102,資格情報取込,随時,,
62,41,★後期高齢者医療管理者,国保課,4103,簡易申告書等送付,随時,,
63,41,★後期高齢者医療管理者,国保課,4104,保険料情報取込,随時,,
64,41,★後期高齢者医療管理者,国保課,4105,徴収方法通知,随時,,
65,41,★後期高齢者医療管理者,国保課,4106,納付書送付,随時,,
66,41,★後期高齢者医療管理者,国保課,4107,口座振替依頼,随時,,
67,41,★後期高齢者医療管理者,国保課,4108,保険料収納,随時,,
68,41,★後期高齢者医療管理者,国保課,4109,振替結果取込,随時,,
69,41,★後期高齢者医療管理者,国保課,4110,過誤納処理,随時,,
70,41,★後期高齢者医療管理者,国保課,4111,保険料督促･催告,随時,,
71,41,★後期高齢者医療管理者,国保課,4112,滞納通知,随時,,
72,42,★介護保険管理者,国保課,4200,ログインとログアウト,随時,,
73,42,★介護保険管理者,国保課,4201,資格異動受付,随時,,
74,42,★介護保険管理者,国保課,4202,被保険者証発行,随時,,
75,42,★介護保険管理者,国保課,4203,保険料算定,随時,,
76,42,★介護保険管理者,国保課,4204,納付通知,随時,,
77,42,★介護保険管理者,国保課,4205,口座振替依頼,随時,,
78,42,★介護保険管理者,国保課,4206,保険料収納,随時,,
79,42,★介護保険管理者,国保課,4207,振替結果取込,随時,,
80,42,★介護保険管理者,国保課,4208,過誤納処理,随時,,
81,42,★介護保険管理者,国保課,4209,保険料督促･催告,随時,,
82,42,★介護保険管理者,国保課,4210,滞納通知,随時,,
83,42,★介護保険管理者,国保課,4211,要介護認定申請受付,随時,,
84,42,★介護保険管理者,国保課,4212,訪問調査,随時,,
85,42,★介護保険管理者,国保課,4213,意見書作成,随時,,
86,42,★介護保険管理者,国保課,4214,一次･二次判定,随時,,
87,42,★介護保険管理者,国保課,4215,要介護度決定,随時,,
88,42,★介護保険管理者,国保課,4216,認定結果通知,随時,,
89,42,★介護保険管理者,国保課,4217,認定更新勧奨,随時,,
90,42,★介護保険管理者,国保課,4218,異動通知,随時,,
91,42,★介護保険管理者,国保課,4219,給付実績登録,随時,,
92,42,★介護保険管理者,国保課,4220,支給申請受付,随時,,
93,42,★介護保険管理者,国保課,4221,支給決定通知,随時,,
94,42,★介護保険管理者,国保課,4222,支給支払指示,随時,,
95,42,★介護保険管理者,国保課,4223,月次利用状況通知,随時,,
96,43,国保課承認者,国保課,4300,ログインとログアウト,随時,,
97,43,国保課承認者,国保課,4301,保険料減免承認登録,随時,,
98,43,国保課承認者,国保課,4302,療養費支給承認登録,随時,,
99,50,★国民年金管理者,年金課,5000,ログインとログアウト,随時,,
100,50,★国民年金管理者,年金課,5001,資格異動受付,異動届を受け取った！,,
101,50,★国民年金管理者,年金課,5002,保険料免除審査,申請書を受け取った！,,
102,50,★国民年金管理者,年金課,5003,免除登録,社保事から通知を受けた！,,
103,50,★国民年金管理者,年金課,5004,受給該当登録,社保事から通知を受けた！,,
104,50,★国民年金管理者,年金課,5005,進達報告,資格の異動があった！,,
105,50,★国民年金管理者,年金課,5006,各種情報提供,社保事から依頼された！,,
106,60,★障害者福祉管理者,福祉課,6000,ログインとログアウト,随時,,
107,60,★障害者福祉管理者,福祉課,6001,申請登録,申請書を受け取った！,,
108,60,★障害者福祉管理者,福祉課,6002,各種証明書交付,随時,,
109,60,★障害者福祉管理者,福祉課,6003,福祉ｻｰﾋﾞｽ申請審査,随時,,
110,60,★障害者福祉管理者,福祉課,6004,支給審査,随時,,
111,60,★障害者福祉管理者,福祉課,6005,福祉ｻｰﾋﾞｽ契約登録,？？？,,
112,60,★障害者福祉管理者,福祉課,6006,高額ｻｰﾋﾞｽ費振込依頼,随時,,
113,60,★障害者福祉管理者,福祉課,6007,福祉ｻｰﾋﾞｽ事業者登録,随時,,
114,60,★障害者福祉管理者,福祉課,6008,更生医療申請審査,随時,,
115,60,★障害者福祉管理者,福祉課,6009,更生医療支払指示,随時,,
116,60,★障害者福祉管理者,福祉課,6010,補装具等支給審査,随時,,
117,60,★障害者福祉管理者,福祉課,6011,補装具等支払指示,随時,,
118,60,★障害者福祉管理者,福祉課,6012,障害者手当申請審査,随時,,
119,60,★障害者福祉管理者,福祉課,6013,障害者手当振込依頼,随時,,
120,60,★障害者福祉管理者,福祉課,6014,障害者手当年次更新,随時,,
121,60,★障害者福祉管理者,福祉課,6015,.特別児童扶養手当申請審査,随時,,
122,60,★障害者福祉管理者,福祉課,6016,.特別児童扶養手当振込依頼,随時,,
123,60,★障害者福祉管理者,福祉課,6017,.特別児童扶養手当年次更新,随時,,
124,61,★児童福祉管理者,福祉課,6100,ログインとログアウト,随時,,
125,61,★児童福祉管理者,福祉課,6101,手当認定受付,随時,,
126,61,★児童福祉管理者,福祉課,6102,手当資格審査,随時,,
127,61,★児童福祉管理者,福祉課,6103,手当資格更新,随時,,
128,61,★児童福祉管理者,福祉課,6104,児童現況届送付,随時,,
129,61,★児童福祉管理者,福祉課,6105,児童現況登録,随時,,
130,61,★児童福祉管理者,福祉課,6106,児童現況届催促,随時,,
131,61,★児童福祉管理者,福祉課,6107,手当額算定,随時,,
132,61,★児童福祉管理者,福祉課,6108,手当振込依頼,随時,,
133,61,★児童福祉管理者,福祉課,6109,手当振込結果登録,随時,,
134,61,★児童福祉管理者,福祉課,6110,医療扶助資格更新,随時,,
135,61,★児童福祉管理者,福祉課,6111,医療扶助支払指示,随時,,
136,61,★児童福祉管理者,福祉課,6112,学齢簿更新,随時,,
137,61,★児童福祉管理者,福祉課,6113,就学等通知書送付,随時,,
138,61,★児童福祉管理者,福祉課,6114,就学援助資格更新,随時,,
139,61,★児童福祉管理者,福祉課,6115,就学援助支払指示,随時,,
140,62,★生活保護管理者,福祉課,6200,ログインとログアウト,随時,,
141,62,★生活保護管理者,福祉課,6201,相談･申請受付,相談･申請書を受けた！,,
142,62,★生活保護管理者,福祉課,6202,29条調査結果登録,随時,,
143,62,★生活保護管理者,福祉課,6203,審査結果登録,随時,,
144,62,★生活保護管理者,福祉課,6204,保護方針検討,随時,,
145,62,★生活保護管理者,福祉課,6205,現金支給指示,随時,,
146,62,★生活保護管理者,福祉課,6206,現物支給指示,随時,,
147,62,★生活保護管理者,福祉課,6207,返還方法検討,随時,,
148,62,★生活保護管理者,福祉課,6208,現物支給支払指示,随時,,
149,62,★生活保護管理者,福祉課,6209,不正受給請求,随時,,
150,62,★生活保護管理者,福祉課,6210,不正受給収納,随時,,
151,62,★生活保護管理者,福祉課,6211,滞納欠損処理,随時,,
152,62,★生活保護管理者,福祉課,6212,医療券発行,随時,,
153,62,★生活保護管理者,福祉課,6213,医療扶助支払指示,随時,,
154,63,★ケースワーカー,福祉課,6300,ログインとログアウト,随時,,
155,63,★ケースワーカー,福祉課,6301,訪問計画登録,随時,,
156,63,★ケースワーカー,福祉課,6302,訪問結果登録,随時,,
157,63,★ケースワーカー,福祉課,6303,査察指導登録,随時,,
158,64,★福祉課承認者,福祉課,6400,ログインとログアウト,随時,,
159,65,★特別給付管理者,納給付課,6500,ログインとログアウト,随時,,
160,65,★特別給付管理者,納給付課,6501,給付条件登録,随時,,
161,65,★特別給付管理者,納給付課,6502,給付対象世帯設定,随時,,
162,65,★特別給付管理者,納給付課,6503,給付申請登録,申請書を受け取った！,,
163,65,★特別給付管理者,納給付課,6504,納付額確定,随時,,
164,65,★特別給付管理者,納給付課,6505,給付通知書送付,随時,,
165,65,★特別給付管理者,納給付課,6506,更正登録,更正申請を受け取った！,,
166,70,入出金管理者,納給付課,7000,ログインとログアウト,随時,,
167,70,入出金管理者,納給付課,7001,入金通知,随時,,
168,70,入出金管理者,納給付課,7002,納付書送付,年次規定期間の随時,,
169,70,入出金管理者,納給付課,7003,振替指示,月次の規定日,,
170,70,入出金管理者,納給付課,7004,振替結果確認,随時,,
171,70,入出金管理者,納給付課,7005,残高不足通知,随時,,
172,71,★債権管理者,債権管理課,7100,ログインとログアウト,随時,,
173,71,★債権管理者,債権管理課,7101,督促･催告通知,随時,,
174,71,★債権管理者,債権管理課,7102,臨戸・調査,随時,,
175,71,★債権管理者,債権管理課,7103,収納猶予審査,随時,,
176,71,★債権管理者,債権管理課,7104,収納誓約登録,随時,,
177,71,★債権管理者,債権管理課,7105,延滞金減免審査,随時,,
178,71,★債権管理者,債権管理課,7106,財産調査,随時,,
179,71,★債権管理者,債権管理課,7107,交付要求,随時,,
180,71,★債権管理者,債権管理課,7108,差押通知,随時,,
181,71,★債権管理者,債権管理課,7109,差押実績登録,随時,,
182,71,★債権管理者,債権管理課,7110,公売結果登録,随時,,
183,71,★債権管理者,債権管理課,7111,執行停止登録,随時,,
184,90,組織情報管理者,人事部,9000,ログインとログアウト,随時,,
185,90,組織情報管理者,人事部,9001,部門情報保守,随時,,
186,90,組織情報管理者,人事部,9002,職員情報保守,随時,,
187,91,システム管理者,システム管理部,9100,ログインとログアウト,随時,,
188,91,システム管理者,システム管理部,9101,ユーザ情報保守,保守を依頼された！,,
189,91,システム管理者,システム管理部,9102,システム利用状況照会,随時,,
190,91,システム管理者,システム管理部,9103,パージ処理,年次規定日,,
191,91,システム管理者,システム管理部,9104,システム変数保守,随時,,
192,91,システム管理者,システム管理部,9105,区分定義保守,随時,,
193,91,システム管理者,システム管理部,9106,自治体情報保守,随時,,
194,99,サーバー,システム管理部,9901,住基ネット更新処理,住基情報が更新された！,,
195,99,サーバー,システム管理部,9902,レセプト受信処理,規定時刻,,
196,99,サーバー,システム管理部,9903,障害者情報進達処理,随時,,
197,99,サーバー,システム管理部,9904,国保資格情報送信処理,送信要求を受け取った！,,
198,99,サーバー,システム管理部,9905,実績集計処理,夜間の定時,,
199,99,サーバー,システム管理部,9906,振替指示送信処理,夜間の定時,,
200,99,サーバー,システム管理部,9907,振替実績取込処理,夜間の定時,,
