№,サブシステムＩＤ,サブシステム名,テーブルＩＤ,テーブル名,Key,フィールドＩＤ,フィールド名,属性,データタイプ,Null,UPD,省略値,モデル,説明
54,A,住民データ管理,AT022,住民基本属性異動明細,*,,住民id,固有,住民id(15),×,×,,表示,
55,A,住民データ管理,AT022,住民基本属性異動明細,*,,異動行番,固有,異動行番(5),×,×,,表示,
56,A,住民データ管理,AT022,住民基本属性異動明細,*,,異動項目,固有,１０桁文字(10),×,×,,表示,
57,A,住民データ管理,AT022,住民基本属性異動明細,,,異動前項目値,固有,可変長文字(50),×,○,,表示,
58,B,選挙データ管理,BT010,投票所,*,,投票所id,固有,投票所id(5),×,×,,表示,
59,B,選挙データ管理,BT010,投票所,,,投票所名,固有,可変長文字(50),×,○,,表示,
60,B,選挙データ管理,BT010,投票所,,,所在地,固有,可変長文字(50),×,○,,表示,
61,B,選挙データ管理,BT010,投票所,,,地図情報,固有,ＵＲＬ(40),×,○,,表示,
62,B,選挙データ管理,BT010,投票所,,,自治体Ｃ,固有,自治体Ｃ(5),×,○,,表示,
63,B,選挙データ管理,BT010,投票所,,,利用開始日,固有,日付(8),×,○,,表示,
64,B,選挙データ管理,BT010,投票所,,,利用停止日,固有,日付(8),×,○,,表示,
65,B,選挙データ管理,BT010,投票所,,,摘要,固有,可変長文字(50),×,○,,表示,
66,B,選挙データ管理,BT020,選挙人属性,*,,住民id,固有,住民id(15),×,×,,表示,
67,B,選挙データ管理,BT020,選挙人属性,*,,選挙人属性行番,固有,属性行番(3),×,×,,表示,
68,B,選挙データ管理,BT020,選挙人属性,,,一般選挙人有効日,固有,日付(8),×,○,,表示,
69,B,選挙データ管理,BT020,選挙人属性,,,農業委員会選挙人有効日,固有,日付(8),×,○,,表示,
70,B,選挙データ管理,BT020,選挙人属性,,,農業委員会選挙人失効日,固有,日付(8),×,○,,表示,
71,B,選挙データ管理,BT020,選挙人属性,,,農業委員会選挙権要件,固有,XML定義項目(100),×,○,,表示,
72,B,選挙データ管理,BT020,選挙人属性,,,漁業委員会選挙人有効日,固有,日付(8),×,○,,-,
73,B,選挙データ管理,BT020,選挙人属性,,,漁業委員会選挙人失効日,固有,日付(8),×,○,,-,
74,B,選挙データ管理,BT020,選挙人属性,,,漁業委員会選挙権要件,固有,XML定義項目(100),×,○,,-,
75,B,選挙データ管理,BT020,選挙人属性,,,海区委員会選挙人有効日,固有,日付(8),×,○,,-,
76,B,選挙データ管理,BT020,選挙人属性,,,海区委員会選挙人失効日,固有,日付(8),×,○,,-,
77,B,選挙データ管理,BT020,選挙人属性,,,海区委員会選挙権要件,固有,XML定義項目(100),×,○,,-,
78,B,選挙データ管理,BT020,選挙人属性,,,有効自治体Ｃ,固有,自治体Ｃ(5),×,○,,-,
79,B,選挙データ管理,BT100,選挙,*,,選挙id,固有,選挙id(5),×,×,,表示,
80,B,選挙データ管理,BT100,選挙,,,選挙名,固有,可変長文字(50),×,○,,表示,
81,B,選挙データ管理,BT100,選挙,,,選挙区分,固有,システム定義区分(2),×,○,,表示,
82,B,選挙データ管理,BT100,選挙,,,投票日,固有,日付(8),×,○,,表示,
83,B,選挙データ管理,BT100,選挙,,,自治体Ｃ,固有,自治体Ｃ(5),×,○,,表示,
84,B,選挙データ管理,BT100,選挙,,,摘要,固有,可変長文字(50),×,○,,表示,
85,B,選挙データ管理,BT100,選挙,,,選挙人数,導出,正の５桁整数(5),×,○,,表示,
86,B,選挙データ管理,BT100,選挙,,,投票者数,導出,正の５桁整数(5),×,○,,表示,
87,B,選挙データ管理,BT100,選挙,,,投票率,導出,正の３桁整数(3),×,○,,表示,
88,B,選挙データ管理,BT110,選挙別区域明細,*,,選挙id,固有,選挙id(5),×,×,,表示,
89,B,選挙データ管理,BT110,選挙別区域明細,*,,区域行番,固有,区域行番(5),×,×,,表示,
90,B,選挙データ管理,BT110,選挙別区域明細,,,投票所id,固有,投票所id(5),×,○,,表示,
91,B,選挙データ管理,BT110,選挙別区域明細,,,投票者数,固有,正の５桁整数(5),×,○,,表示,
92,B,選挙データ管理,BT110,選挙別区域明細,,,自治体Ｃ,継承,自治体Ｃ(5),×,○,,表示,
93,B,選挙データ管理,BT110,選挙別区域明細,,,選挙人数,導出,正の５桁整数(5),×,○,,表示,
94,B,選挙データ管理,BT110,選挙別区域明細,,,投票率,導出,正の３桁整数(3),×,○,,表示,
95,B,選挙データ管理,BT120,選挙人明細,*,,選挙id,固有,選挙id(5),×,×,,表示,
96,B,選挙データ管理,BT120,選挙人明細,*,,住民id,固有,住民id(15),×,×,,表示,
97,B,選挙データ管理,BT120,選挙人明細,,,資格区分,固有,システム定義区分(2),×,○,,表示,
98,B,選挙データ管理,BT120,選挙人明細,,,投票所id,固有,投票所id(5),×,○,,表示,
99,B,選挙データ管理,BT120,選挙人明細,,,通知状況,固有,システム定義区分(2),×,○,,表示,未通知、通知済、返送済
100,B,選挙データ管理,BT120,選挙人明細,,,不在者投票済,固有,フラグ(1),×,○,,表示,
101,B,選挙データ管理,BT120,選挙人明細,,,区域行番,継承,区域行番(5),×,○,,表示,
102,B,選挙データ管理,BT130,選挙別投票所明細,*,,選挙id,固有,選挙id(5),×,×,,表示,
103,B,選挙データ管理,BT130,選挙別投票所明細,*,,投票所id,固有,投票所id(5),×,×,,表示,
104,B,選挙データ管理,BT130,選挙別投票所明細,,,摘要,固有,可変長文字(50),×,○,,表示,
105,B,選挙データ管理,BT130,選挙別投票所明細,,,選挙人数,導出,正の５桁整数(5),×,○,,表示,
106,B,選挙データ管理,BT130,選挙別投票所明細,,,投票者数,導出,正の５桁整数(5),×,○,,表示,
107,B,選挙データ管理,BT130,選挙別投票所明細,,,投票率,導出,正の３桁整数(3),×,○,,表示,
108,C,法人データ管理,CT010,法人基本属性,*,,法人id,固有,法人id(10),×,×,,表示,
109,C,法人データ管理,CT010,法人基本属性,,,法人名,固有,可変長文字(50),×,○,,表示,
110,C,法人データ管理,CT010,法人基本属性,,,所在地,固有,可変長文字(50),×,○,,表示,
111,C,法人データ管理,CT010,法人基本属性,,,自治体Ｃ,固有,自治体Ｃ(5),×,○,,表示,
112,C,法人データ管理,CT010,法人基本属性,,,区域行番,固有,区域行番(5),×,○,,-,
113,C,法人データ管理,CT010,法人基本属性,,,代表者名,固有,３０桁文字(30),×,○,,表示,
114,C,法人データ管理,CT010,法人基本属性,,,代表者肩書,固有,２０桁文字(20),×,○,,-,
115,C,法人データ管理,CT010,法人基本属性,,,従業員住民税扱部署,固有,可変長文字(50),×,○,,-,
116,C,法人データ管理,CT010,法人基本属性,,,法人住民税扱部署,固有,可変長文字(50),×,○,,-,
117,C,法人データ管理,CT010,法人基本属性,,,本社所在地,固有,可変長文字(50),×,○,,表示,
118,C,法人データ管理,CT010,法人基本属性,,,電話番号,固有,２０桁文字(20),×,○,,表示,
119,C,法人データ管理,CT010,法人基本属性,,,資本金,固有,正の９桁整数(9),×,○,,表示,
120,C,法人データ管理,CT010,法人基本属性,,,従業員数,固有,正の７桁整数(7),×,○,,表示,
121,C,法人データ管理,CT010,法人基本属性,,,産業分類コード,固有,１０桁文字(10),×,○,,表示,
122,C,法人データ管理,CT010,法人基本属性,,,銀行コード,固有,１０桁文字(10),×,○,,-,
123,C,法人データ管理,CT010,法人基本属性,,,口座番号,固有,２０桁文字(20),×,○,,-,
124,C,法人データ管理,CT011,老人福祉事業者属性,*,,法人id,固有,法人id(10),×,×,,表示,
125,C,法人データ管理,CT011,老人福祉事業者属性,,,事業者登録番号,固有,１０桁文字(10),×,○,,表示,
126,C,法人データ管理,CT011,老人福祉事業者属性,,,登録日,固有,日付(8),×,○,,表示,
127,C,法人データ管理,CT011,老人福祉事業者属性,,,更新日,固有,日付(8),×,○,,表示,
128,C,法人データ管理,CT011,老人福祉事業者属性,,,有効フラグ,固有,フラグ(1),×,○,,-,
129,C,法人データ管理,CT012,児童福祉事業者属性,*,,法人id,固有,法人id(10),×,×,,表示,
130,C,法人データ管理,CT012,児童福祉事業者属性,,,事業者登録番号,固有,２０桁文字(20),×,○,,表示,
131,C,法人データ管理,CT012,児童福祉事業者属性,,,登録日,固有,日付(8),×,○,,表示,
132,C,法人データ管理,CT012,児童福祉事業者属性,,,更新日,固有,日付(8),×,○,,表示,
133,C,法人データ管理,CT012,児童福祉事業者属性,,,有効フラグ,固有,フラグ(1),×,○,,-,
134,C,法人データ管理,CT013,生活保護施設属性,*,,法人id,固有,法人id(10),×,×,,表示,
135,C,法人データ管理,CT013,生活保護施設属性,,,事業者登録番号,固有,２０桁文字(20),×,○,,表示,
136,C,法人データ管理,CT013,生活保護施設属性,,,登録日,固有,日付(8),×,○,,表示,
137,C,法人データ管理,CT013,生活保護施設属性,,,更新日,固有,日付(8),×,○,,表示,
138,C,法人データ管理,CT013,生活保護施設属性,,,有効フラグ,固有,フラグ(1),×,○,,-,
139,C,法人データ管理,CT014,障害者福祉事業者属性,*,,法人id,固有,法人id(10),×,×,,表示,
140,C,法人データ管理,CT014,障害者福祉事業者属性,,,事業者登録番号,固有,２０桁文字(20),×,○,,表示,
141,C,法人データ管理,CT014,障害者福祉事業者属性,,,登録日,固有,日付(8),×,○,,表示,
142,C,法人データ管理,CT014,障害者福祉事業者属性,,,更新日,固有,日付(8),×,○,,表示,
143,C,法人データ管理,CT014,障害者福祉事業者属性,,,有効フラグ,固有,フラグ(1),×,○,,-,
144,C,法人データ管理,CT020,法人基本属性異動見出し,*,,法人id,固有,法人id(10),×,×,,表示,
145,C,法人データ管理,CT020,法人基本属性異動見出し,*,,異動行番,固有,異動行番(5),×,×,,表示,
146,C,法人データ管理,CT020,法人基本属性異動見出し,,,異動事由,固有,可変長文字(50),×,○,,表示,
147,C,法人データ管理,CT020,法人基本属性異動見出し,,,異動届出日,固有,日付(8),×,○,,表示,
148,C,法人データ管理,CT020,法人基本属性異動見出し,,,異動届出自治体Ｃ,固有,自治体Ｃ(5),×,○,,表示,
149,C,法人データ管理,CT020,法人基本属性異動見出し,,,異動日,固有,日付(8),×,○,,表示,
150,C,法人データ管理,CT020,法人基本属性異動見出し,,,属性区分,固有,システム定義区分(2),×,○,,表示,住民基本属性、選挙人属性、国保資格属性、国民年金資格属性、障害者属性、老人福祉資格属性、生活保護資格属性、乳幼児・児童属性、公営住宅入居属性
151,C,法人データ管理,CT021,法人基本属性異動明細,*,,法人id,固有,法人id(10),×,×,,表示,
152,C,法人データ管理,CT021,法人基本属性異動明細,*,,異動行番,固有,異動行番(5),×,×,,表示,
153,C,法人データ管理,CT021,法人基本属性異動明細,*,,異動項目,固有,１０桁文字(10),×,×,,表示,
154,C,法人データ管理,CT021,法人基本属性異動明細,,,異動前項目値,固有,可変長文字(50),×,○,,表示,
155,D,住民税データ管理,DT010,個人別住民税SUM,*,,年度,固有,年(4),×,×,,表示,
156,D,住民税データ管理,DT010,個人別住民税SUM,*,,住民id,固有,住民id(15),×,×,,表示,
157,D,住民税データ管理,DT010,個人別住民税SUM,,,課税自治体Ｃ,固有,自治体Ｃ(5),×,○,,表示,
158,D,住民税データ管理,DT010,個人別住民税SUM,,,課税基本所得額,固有,正の９桁整数(9),×,○,,表示,
159,D,住民税データ管理,DT010,個人別住民税SUM,,,均等割対象フラグ,固有,フラグ(1),×,○,,-,
160,D,住民税データ管理,DT010,個人別住民税SUM,,,住民税所得割額,固有,正の９桁整数(9),×,○,,表示,
161,D,住民税データ管理,DT010,個人別住民税SUM,,,住民税処理状態区分,固有,システム定義区分(2),×,○,,-,課税額未確定、客体別課税額確定、当初課税額通知済、納付書発行済
162,D,住民税データ管理,DT010,個人別住民税SUM,,,送付先法人id,固有,法人id(10),×,○,,-,
163,D,住民税データ管理,DT010,個人別住民税SUM,,,送付先住所,固有,可変長文字(50),×,○,,-,
164,D,住民税データ管理,DT010,個人別住民税SUM,,,住民税課税属性,固有,XML定義項目(100),×,○,,表示,
165,D,住民税データ管理,DT010,個人別住民税SUM,,,自動引落対象フラグ,固有,フラグ(1),×,○,,-,
166,D,住民税データ管理,DT010,個人別住民税SUM,,,入出金管理id,固有,納付管理id(10),×,○,,表示,
167,D,住民税データ管理,DT010,個人別住民税SUM,,,住民税額,導出,正の９桁整数(9),×,○,,表示,
168,D,住民税データ管理,DT010,個人別住民税SUM,,,住民税納付額,導出,正の９桁整数(9),×,○,,-,
169,D,住民税データ管理,DT010,個人別住民税SUM,,,新規フィールド,固有,未指定(0),×,○,,表示,
170,D,住民税データ管理,DT020,法人別住民税SUM,*,,年度,固有,年(4),×,×,,表示,
171,D,住民税データ管理,DT020,法人別住民税SUM,*,,法人id,固有,法人id(10),×,×,,表示,
172,D,住民税データ管理,DT020,法人別住民税SUM,,,課税自治体Ｃ,固有,自治体Ｃ(5),×,○,,表示,
173,D,住民税データ管理,DT020,法人別住民税SUM,,,課税基本利益額,固有,正の９桁整数(9),×,○,,表示,
174,D,住民税データ管理,DT020,法人別住民税SUM,,,均等割対象フラグ,固有,フラグ(1),×,○,,-,
175,D,住民税データ管理,DT020,法人別住民税SUM,,,住民税所得割額,固有,正の９桁整数(9),×,○,,表示,
176,D,住民税データ管理,DT020,法人別住民税SUM,,,住民税処理状態区分,固有,システム定義区分(2),×,○,,-,課税額未確定、客体別課税額確定、当初課税額通知済、納付書発行済
177,D,住民税データ管理,DT020,法人別住民税SUM,,,送付先住所,固有,可変長文字(50),×,○,,-,
178,D,住民税データ管理,DT020,法人別住民税SUM,,,住民税課税属性,固有,XML定義項目(100),×,○,,表示,
179,D,住民税データ管理,DT020,法人別住民税SUM,,,自動引落対象フラグ,固有,フラグ(1),×,○,,-,
180,D,住民税データ管理,DT020,法人別住民税SUM,,,入出金管理id,固有,納付管理id(10),×,○,,表示,
181,D,住民税データ管理,DT020,法人別住民税SUM,,,住民税額,導出,正の９桁整数(9),×,○,,表示,
182,D,住民税データ管理,DT020,法人別住民税SUM,,,住民税納付額,導出,正の９桁整数(9),×,○,,-,
183,E,固定資産税データ管理,ET010,個人別固定資産税SUM,*,,年度,固有,年(4),×,×,,表示,
184,E,固定資産税データ管理,ET010,個人別固定資産税SUM,*,,住民id,固有,住民id(15),×,×,,表示,
185,E,固定資産税データ管理,ET010,個人別固定資産税SUM,*,,課税自治体Ｃ,固有,自治体Ｃ(5),×,×,,表示,
186,E,固定資産税データ管理,ET010,個人別固定資産税SUM,,,処理状態区分,固有,システム定義区分(2),×,○,,-,課税資産なし、客体別課税額未確定、客体別課税額確定、当初課税額通知済
187,E,固定資産税データ管理,ET010,個人別固定資産税SUM,,,自動引落対象フラグ,固有,フラグ(1),×,○,,-,
188,E,固定資産税データ管理,ET010,個人別固定資産税SUM,,,入出金管理id,固有,納付管理id(10),×,○,,表示,
189,E,固定資産税データ管理,ET010,個人別固定資産税SUM,,,固定資産税額,導出,正の９桁整数(9),×,○,,表示,
190,E,固定資産税データ管理,ET010,個人別固定資産税SUM,,,固定資産税納付額,導出,正の９桁整数(9),×,○,,-,
191,E,固定資産税データ管理,ET010,個人別固定資産税SUM,,,軽自動車税額,導出,正の９桁整数(9),×,○,,表示,
192,E,固定資産税データ管理,ET010,個人別固定資産税SUM,,,軽自動車税納付額,導出,正の９桁整数(9),×,○,,-,
193,E,固定資産税データ管理,ET020,法人別固定資産税SUM,*,,年度,固有,年(4),×,×,,表示,
194,E,固定資産税データ管理,ET020,法人別固定資産税SUM,*,,法人id,固有,法人id(10),×,×,,表示,
195,E,固定資産税データ管理,ET020,法人別固定資産税SUM,*,,課税自治体Ｃ,固有,自治体Ｃ(5),×,×,,表示,
196,E,固定資産税データ管理,ET020,法人別固定資産税SUM,,,処理状態区分,固有,システム定義区分(2),×,○,,-,課税資産なし、客体別課税額未確定、客体別課税額確定、当初課税額通知済
197,E,固定資産税データ管理,ET020,法人別固定資産税SUM,,,自動引落対象フラグ,固有,フラグ(1),×,○,,-,
198,E,固定資産税データ管理,ET020,法人別固定資産税SUM,,,入出金管理id,固有,納付管理id(10),×,○,,表示,
199,E,固定資産税データ管理,ET020,法人別固定資産税SUM,,,固定資産税額,導出,正の９桁整数(9),×,○,,表示,
200,E,固定資産税データ管理,ET020,法人別固定資産税SUM,,,固定資産税納付額,導出,正の９桁整数(9),×,○,,-,
201,E,固定資産税データ管理,ET020,法人別固定資産税SUM,,,軽自動車税額,導出,正の９桁整数(9),×,○,,表示,
202,E,固定資産税データ管理,ET020,法人別固定資産税SUM,,,軽自動車税納付額,導出,正の９桁整数(9),×,○,,-,
203,E,固定資産税データ管理,ET030,課税資産,*,,年度,固有,年(4),×,×,,表示,
204,E,固定資産税データ管理,ET030,課税資産,*,,課税自治体Ｃ,固有,自治体Ｃ(5),×,×,,表示,
205,E,固定資産税データ管理,ET030,課税資産,*,,課税資産id,固有,固定資産id(10),×,×,,表示,
206,E,固定資産税データ管理,ET030,課税資産,,,住民id,固有,住民id(15),×,○,,表示,
207,E,固定資産税データ管理,ET030,課税資産,,,法人id,固有,法人id(10),×,○,,表示,
208,E,固定資産税データ管理,ET030,課税資産,,,資産区分,固有,システム定義区分(2),×,○,,表示,土地、家屋、償却資産、軽自動車
209,E,固定資産税データ管理,ET030,課税資産,,,資産カナ名,固有,可変長文字(50),×,○,,-,
210,E,固定資産税データ管理,ET030,課税資産,,,資産漢字名,固有,可変長文字(50),×,○,,表示,
211,E,固定資産税データ管理,ET030,課税資産,,,サイズ値,固有,正の７桁整数(7),×,○,,表示,
212,E,固定資産税データ管理,ET030,課税資産,,,所在地,固有,可変長文字(50),×,○,,表示,
213,E,固定資産税データ管理,ET030,課税資産,,,評価額,固有,正の９桁整数(9),×,○,,表示,
214,E,固定資産税データ管理,ET030,課税資産,,,当初課税額,固有,正の９桁整数(9),×,○,,表示,
215,E,固定資産税データ管理,ET030,課税資産,,,更正課税額,固有,正の９桁整数(9),×,○,,-,
216,E,固定資産税データ管理,ET030,課税資産,,,処理状態区分,固有,システム定義区分(2),×,○,,-,登録済／評価額未確認、評価額確認済／課税額未確認、課税額確認済
217,E,固定資産税データ管理,ET030,課税資産,,,摘要,固有,可変長文字(50),×,○,,-,
218,F,国民健保データ管理,FT010,住民国保属性,*,,住民id,固有,住民id(15),×,×,,-,
219,F,国民健保データ管理,FT010,住民国保属性,,,扶養者id,固有,住民id(15),×,○,,表示,住民idと同一ならば本人が被保険者、異なるならば被扶養者
220,F,国民健保データ管理,FT010,住民国保属性,,,扶養組込日,固有,日付(8),×,○,,表示,
221,F,国民健保データ管理,FT010,住民国保属性,,,特別徴収対象フラグ,固有,フラグ(1),×,○,,表示,
222,F,国民健保データ管理,FT011,住民国保属性異動履歴,*,,住民id,固有,住民id(15),×,×,,-,
223,F,国民健保データ管理,FT011,住民国保属性異動履歴,*,,異動行番,固有,異動行番(5),×,×,,表示,
224,F,国民健保データ管理,FT011,住民国保属性異動履歴,,,異動日,固有,日付(8),×,○,,表示,
225,F,国民健保データ管理,FT011,住民国保属性異動履歴,,,異動前扶養者id,固有,住民id(15),×,○,,表示,
226,F,国民健保データ管理,FT020,自治体別被保険者属性,*,,住民id,固有,住民id(15),×,×,,-,
227,F,国民健保データ管理,FT020,自治体別被保険者属性,*,,自治体Ｃ,固有,自治体Ｃ(5),×,×,,表示,
228,F,国民健保データ管理,FT020,自治体別被保険者属性,,,国保記号番号,固有,国保記号番号(15),×,○,,表示,被扶養者の場合は被保険者の国保記号番号が強制的に設定される
229,F,国民健保データ管理,FT020,自治体別被保険者属性,,,申請日,固有,日付(8),×,○,,表示,
230,F,国民健保データ管理,FT020,自治体別被保険者属性,,,発効日,固有,日付(8),×,○,,表示,
231,F,国民健保データ管理,FT020,自治体別被保険者属性,,,失効日,固有,日付(8),×,○,,表示,
232,F,国民健保データ管理,FT020,自治体別被保険者属性,,,脱退日,固有,日付(8),×,○,,表示,
233,F,国民健保データ管理,FT020,自治体別被保険者属性,,,状態,導出,システム定義区分(2),×,○,,表示,有効、無効
234,F,国民健保データ管理,FT030,年次国民健康保険SUM,*,,年度,固有,年(4),×,×,,表示,
235,F,国民健保データ管理,FT030,年次国民健康保険SUM,*,,住民id,固有,住民id(15),×,×,,表示,
236,F,国民健保データ管理,FT030,年次国民健康保険SUM,*,,自治体Ｃ,固有,自治体Ｃ(5),×,×,,表示,
237,F,国民健保データ管理,FT030,年次国民健康保険SUM,,,医療分所得割額,固有,正の９桁整数(9),×,○,,表示,被扶養者の場合は強制的にゼロ
238,F,国民健保データ管理,FT030,年次国民健康保険SUM,,,後期高齢者支援分所得割額,固有,正の９桁整数(9),×,○,,-,被扶養者の場合は強制的にゼロ
239,F,国民健保データ管理,FT030,年次国民健康保険SUM,,,介護分所得割額,固有,正の９桁整数(9),×,○,,-,被扶養者の場合は強制的にゼロ
240,F,国民健保データ管理,FT030,年次国民健康保険SUM,,,資格対象月フラグ,固有,資格対象月フラグ(12),×,○,,表示,111111111111であれば４月から３月まで対象であることを示す...
241,F,国民健保データ管理,FT030,年次国民健康保険SUM,,,保険料計算状態,固有,システム定義区分(2),×,○,,表示,未計算、計算･更正済、通知済、納付書送付済
242,F,国民健保データ管理,FT030,年次国民健康保険SUM,,,健診通知フラグ,固有,フラグ(1),×,○,,-,
243,F,国民健保データ管理,FT030,年次国民健康保険SUM,,,自動引落対象フラグ,固有,フラグ(1),×,○,,-,
244,F,国民健保データ管理,FT030,年次国民健康保険SUM,,,摘要,固有,可変長文字(50),×,○,,-,
245,F,国民健保データ管理,FT030,年次国民健康保険SUM,,,入出金管理id,固有,納付管理id(10),×,○,,表示,
246,F,国民健保データ管理,FT030,年次国民健康保険SUM,,,加入月数調整額,導出,正の９桁整数(9),×,○,,-,
247,F,国民健保データ管理,FT030,年次国民健康保険SUM,,,未納合計額,導出,正の９桁整数(9),×,○,,表示,
